5724,5015,3921,1042 : 313 : 12118

6900,6803,2322,1045
7022,6803,3116,1045 : 314 : 12142

4644,4577,1462,1047
4730,4577,2064,1047 : 315 : 12168

8416,8397,1522,795
8416,8397,1419,1054 : 316 : 12232

13618,13557,3232,291
13618,13557,3195,1054 : 317 : 12237

24215,24191,3476,562
24215,24191,3448,1058 : 318 : 12273

3208,3091,1506,405
3208,3091,1317,1062 : 319 : 12303

6249,5328,4513,950
6249,5324,4513,1062 : 320 : 12313

5792,5774,1217,151
5792,5762,1217,1063 : 321 : 12324

14146,13928,5035,1069
24130,24056,5035,1069 : 322 : 12391

10378,10347,2134,645
10378,10347,2061,1072 : 323 : 12422

14914,14841,3646,183
14914,14841,3615,1072 : 324 : 12425

2853,2605,1769,207
2853,2605,1626,1076 : 325 : 12450

2853,2605,1704,842
2853,2605,1626,1076 : 326 : 12450

1833,1585,1296,26
1950,1585,1296,1079 : 327 : 12482

4597,4534,1413,1038
4597,4534,1389,1080 : 328 : 12488

7225,6920,3544,1081
7377,6920,4098,1081 : 329 : 12507

2480,1913,1910,1087
3039,2706,1910,1087 : 330 : 12560

3923,3866,1307,712
3923,3866,1091,1090 : 331 : 12591

3845,3782,1341,696
3845,3782,1130,1093 : 332 : 12617

2417,2297,1258,212
2489,2297,1258,1094 : 333 : 12637

5032,4938,1873,759
5032,4926,1873,1095 : 334 : 12651

3333,3221,1315,1101
